school_id,page_url,page_load_time_ms,page_width,page_height,NDOM_nodes,NDOM_height,page_template,page_menu_or,page_ungrouped_multim,metric,task1,task2,task3,task4,task5,task6,task7,task8
CARA011028,https://www.iisbeccaria.it,2890,1587,1060,37,7,9.0,1.0,1.0,-1.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
PRTF002018,https://www.poloagroindustriale.edu.it,8641,1587,6025,382,5,9.0,3.0,33.0,2.9,4.44,1.01,2.88,0.9,1.09,6.5,6.5,0.9
CLTD00201A,https://www.leonardoniscemi.edu.it/,1718,1587,3197,219,5,6.0,1.0,4.0,4.0,2.19,2.19,4.11,1.93,2.19,3.86,4.1,6.5
PETD010008,https://www.istitutotecnicoacerbope.edu.it,1290,1587,6320,1157,6,9.0,1.0,1.0,-1.0,0.75,7.5,7.47,1.12,0.9,0.6,7.5,0.9
AQTD01301V,https://www.iisggalilei.edu.it,1018,1587,2962,236,7,9.0,3.0,16.0,3.7,2.43,1.68,1.78,0.79,1.92,6.5,6.5,1.39
CHPS01201L,https://www.savoiachieti.edu.it,3294,1587,3979,349,7,5.0,1.0,3.0,4.3,3.1,2.79,3.1,3.31,6.5,9.54,4.87,2.79
NARI09201X,https://www.iispiscopo.edu.it/,31262,1587,6615,241,5,1.0,1.0,0.0,4.2,4.97,3.77,6.93,4.38,4.04,6.5,2.48,13.2
FITF010003,https://www.itismeucci.edu.it,1732,1587,4403,237,7,8.0,1.0,9.0,3.5,3.11,2.46,3.1,3.5,6.5,6.5,6.31,2.46
NATD128014,https://www.iissspantaleo.edu.it,3411,1887,5710,281,6,9.0,1.0,0.0,4.3,3.67,2.42,2.42,2.86,2.42,7.04,3.71,4.08
VRPS01702C,https://www.iismariecurievr.edu.it,1793,1587,4061,223,7,8.0,1.0,9.0,3.5,3.11,2.46,3.1,3.49,6.5,6.5,4.48,2.46
PAPS100008,https://www.liceocroce.it,4373,1587,8372,477,8,9.0,1.0,1.0,-1.0,3.81,0.9,4.59,4.92,3.63,8.27,4.12,3.5
METF03000G,https://www.istitutocopernico.edu.it,2802,1587,4724,177,6,9.0,1.0,1.0,-1.0,6.5,6.5,6.5,6.5,6.5,10.23,1.25,0.9
TOPS05901D,https://www.itisgiulionatta.it,3241,1587,10156,357,7,8.0,1.0,13.0,3.3,6.5,2.46,2.59,2.42,2.46,6.5,6.5,2.72
COTF007013,https://www.setificio.edu.it,1546,1587,4650,198,7,8.0,1.0,14.0,3.3,3.8,3.25,3.8,4.12,6.5,6.5,6.76,3.25
MITN09401E,https://www.bertarelliferraris.edu.it,1174,1587,3687,201,7,8.0,1.0,2.0,4.0,3.11,2.46,3.1,3.49,6.5,6.5,5.07,2.46
MIRC02801A,https://www.iismontale.edu.it,2424,1587,5757,299,7,8.0,1.0,16.0,3.2,2.88,2.46,2.49,2.86,2.46,6.5,6.5,2.46
CTTD04902N,http://www.ismajoranarcoleo.edu.it/home,4259,1587,5782,588,5,9.0,3.0,0.0,4.1,1.24,7.0,1.29,1.71,2.36,1.65,1.41,8.86
