school_id,page_url,page_load_time_ms,page_width,page_height,NDOM_nodes,NDOM_height,page_template,page_menu_or,page_ungrouped_multim,metric,task1,task2,task3,task4,task5,task6,task7,task8
RARC060009,https://www.persolinostrocchi.it,935,1587,6523,299,5,9.0,2.0,8.0,3.6,6.5,0.64,0.61,0.72,0.69,6.5,0.72,3.89
COPS02000A,https://galileierba.edu.it/,1542,1587,4265,343,7,5.0,1.0,3.0,4.2,2.89,2.58,2.89,6.5,6.5,9.35,1.97,2.58
MNPS011011,https://www.fermimn.edu.it,972,1604,848,241,7,9.0,1.0,0.0,3.5,6.5,5.04,4.78,5.76,6.5,13.35,5.28,4.83
FIPS031013,https://www.iisscalamandrei.edu.it/,4628,1587,5053,363,7,8.0,1.0,16.0,3.4,9.58,2.91,2.38,4.68,2.91,6.5,6.5,2.51
TOTD090008,https://www.itcsommeiller.edu.it/,744,1587,4197,374,7,5.0,1.0,6.0,4.0,2.89,2.58,2.9,3.16,2.58,9.38,4.9,2.58
BGRI017023,https://www.ettoremajorana.edu.it,2936,1587,3266,577,11,9.0,3.0,0.0,4.1,2.71,7.0,2.82,2.38,1.85,2.75,1.84,1.44
SSPS017011,https://www.iisfalconeborsellino.it,1242,1593,3584,238,10,7.0,1.0,6.0,3.9,2.95,6.5,4.51,1.58,2.3,3.47,3.17,6.5
LCTD003017,https://www.marcopolocolico.edu.it,1475,1587,7151,256,5,4.0,3.0,10.0,3.9,4.68,2.24,2.48,2.32,6.5,1.59,4.35,3.09
CBPC02601V,https://www.itaspertini.edu.it,293,1604,848,1,0,7.0,1.0,13.0,3.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
BGRC033017,https://www.zenale.edu.it/,5501,1587,5078,298,7,8.0,1.0,4.0,3.7,2.66,2.09,2.66,3.02,6.5,6.5,6.49,2.09
MOTF030004,https://www.itivinci.mo.it,3184,1587,6294,326,7,8.0,1.0,17.0,3.0,4.46,2.46,3.24,2.46,2.46,6.5,3.22,3.7
